"PVWatts Hourly PV Performance Data"
"Requested Location","detroit, mi"
"Location","Lat, Lng: 42.33, -83.06"
"Latitude (DD)","42.33"
"Longitude (DD)","-83.06"
"Elevation (m)","186.44999694824"
"DC System Size (kW)","80"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","17","0","0","0","2.6","0.12","0","0","0","0"
"1","1","18","0","0","0","3","0.12","0","0","0","0"
"1","1","19","0","0","0","3.6","0.12","0","0","0","0"
"1","1","20","0","0","0","4","0.12","0","0","0","0"
"1","1","21","0","0","0","4","0.12","0","0","0","0"
"1","1","22","0","0","0","4","0.12","0","0","0","0"
"1","1","23","0","0","0","4.2","0.12","0","0","0","0"
"1","2","0","0","0","0","4.3","0.12","0","0","0","0"
"1","2","1","0","0","1","4.4","0.12","0","1","0","0"
"1","2","2","0","0","1","4.2","0.12","0","1","0","0"
"1","2","3","0","0","1","3.7","0.12","0","1","0","0"
"1","2","4","0","0","1","3.4","0.12","0","1","0","0"
"1","2","5","0","0","1","3.8","0.12","0","1","0","0"
"1","2","6","0","0","2","4.6","0.12","0","2","0","0"
"1","2","7","0","0","3","5.3","0.12","0","3","0","0"
"1","2","8","0","1","4","5.7","0.12","0.923","4.011","0","0"
"1","2","9","0","12","5","5.9","0.12","11.099","5.151","713.215","370.858"
"1","2","10","0","86","6","5.9","0.12","82.019","7.118","5722.304","5202.455"
"1","2","11","0","37","7","5.2","0.12","34.3","7.507","2301.711","1903.067"
"1","2","12","0","19","8","4.4","0.12","17.601","8.289","1141.815","784.271"
"1","2","13","0","12","9","3.8","0.12","11.112","9.198","703.887","361.861"
"1","2","14","0","10","9","3.2","0.12","9.254","9.182","583.128","245.38"
"1","2","15","0","73","8","2.5","0.12","70.932","9.569","4855.263","4366.136"
"1","2","16","0","23","7","2.2","0.12","21.32","7.486","1275.31","913.036"
"1","2","17","0","0","5","2.4","0.12","0","5","0","0"
"1","2","18","0","0","4","2.4","0.12","0","4","0","0"
"1","2","19","0","0","3","2.3","0.12","0","3","0","0"
"1","2","20","0","0","2","2.3","0.12","0","2","0","0"
"1","2","21","0","0","1","2.7","0.12","0","1","0","0"
"1","2","22","0","0","1","3","0.12","0","1","0","0"
"1","2","23","0","0","0","3.1","0.12","0","0","0","0"
"1","3","0","0","0","0","2.7","0.12","0","0","0","0"
"1","3","1","0","0","0","2.3","0.12","0","0","0","0"
"1","3","2","0","0","0","1.9","0.12","0","0","0","0"
"1","3","3","0","0","0","1.8","0.12","0","0","0","0"
"1","3","4","0","0","0","1.6","0.12","0","0","0","0"
"1","3","5","0","0","0","1.4","0.12","0","0","0","0"
"1","3","6","0","0","0","1.3","0.12","0","0","0","0"
"1","3","7","0","0","0","1.5","0.12","0","0","0","0"
"1","3","8","42","23","0","2","0.12","33.572","0.697","1476.368","1106.969"
"1","3","9","184","77","0","2.4","0.12","174.19","3.922","12528.782","11767.753"
"1","3","10","104","132","1","2.6","0.12","208.173","5.536","15186.847","14331.631"
"1","3","11","61","163","2","2.6","0.12","213.434","6.644","15430.953","14567.088"
"1","3","12","0","121","2","2.7","0.12","116.32","4.481","8262.17","7652.324"
"1","3","13","0","94","2","3","0.12","88.7","3.797","6265.158","5726.073"
"1","3","14","0","21","2","3.2","0.12","19.447","2.381","1305.896","942.538"
"1","3","15","0","48","1","3.2","0.12","44.529","1.873","3089.147","2662.602"
"1","3","16","0","15","0","3.3","0.12","13.884","0.262","849.131","501.958"
"1","3","17","0","0","0","3.6","0.12","0","0","0","0"
"1","3","18","0","0","0","3.7","0.12","0","0","0","0"
"1","3","19","0","0","0","3.9","0.12","0","0","0","0"
"1","3","20","0","0","0","4.2","0.12","0","0","0","0"
"1","3","21","0","0","0","4.3","0.12","0","0","0","0"
"1","3","22","0","0","0","4.1","0.12","0","0","0","0"
"1","3","23","0","0","0","3.9","0.12","0","0","0","0"
"1","4","0","0","0","0","3.6","0.12","0","0","0","0"
"1","4","1","0","0","0","3.2","0.12","0","0","0","0"
"1","4","2","0","0","0","2.9","0.12","0","0","0","0"
"1","4","3","0","0","-1","2.7","0.12","0","-1","0","0"
"1","4","4","0","0","-1","2.6","0.12","0","-1","0","0"
"1","4","5","0","0","-1","2.3","0.12","0","-1","0","0"
"1","4","6","0","0","-2","2.1","0.12","0","-2","0","0"
"1","4","7","0","0","-1","2","0.12","0","-1","0","0"
"1","4","8","0","12","0","2.3","0.12","11.107","0.22","481.184","147.048"
"1","4","9","0","55","0","2.5","0.12","52.189","1.153","3637.646","3191.665"
"1","4","10","0","48","1","2.2","0.12","44.516","2.043","3096.806","2669.989"
"1","4","11","0","41","2","1.9","0.12","38.015","2.945","2610.845","2201.247"
"1","4","12","31","167","2","1.8","0.12","197.246","7.01","14151.783","13333.244"
"1","4","13","0","127","3","1.9","0.12","123.12","6.061","8718.209","8092.203"
"1","4","14","22","130","2","1.9","0.12","142.45","5.547","10213.443","9534.455"
"1","4","15","287","84","1","1.4","0.12","244.784","7.804","17745.761","16799.873"
"1","4","16","124","38","0","1.5","0.12","86.112","2.259","5446.318","4936.248"
"1","4","17","0","0","0","2.2","0.12","0","0","0","0"
"1","4","18","0","0","0","2.6","0.12","0","0","0","0"
"1","4","19","0","0","0","2.5","0.87","0","0","0","0"
"1","4","20","0","0","0","2.5","0.87","0","0","0","0"
"1","4","21","0","0","-1","2.9","0.87","0","-1","0","0"
"1","4","22","0","0","-1","3.5","0.87","0","-1","0","0"
"1","4","23","0","0","-1","3.9","0.87","0","-1","0","0"
"1","5","0","0","0","-1","4.1","0.87","0","-1","0","0"
"1","5","1","0","0","-1","4.6","0.87","0","-1","0","0"
"1","5","2","0","0","-1","5.5","0.87","0","-1","0","0"
"1","5","3","0","0","-1","6","0.87","0","-1","0","0"
"1","5","4","0","0","-1","6.1","0.87","0","-1","0","0"
"1","5","5","0","0","-1","5.8","0.87","0","-1","0","0"
"1","5","6","0","0","-1","5.5","0.87","0","-1","0","0"
"1","5","7","0","0","-2","5.8","0.87","0","-2","0","0"
"1","5","8","0","9","-2","6.5","0.87","8.475","-1.907","364.305","34.311"
"1","5","9","0","46","-1","6.3","0.87","43.449","-0.436","3009.11","2585.4"
"1","5","10","0","80","-1","6.3","0.87","77.021","0.003","5480.555","4969.272"
"1","5","11","0","96","-2","7.1","0.87","92.464","-0.893","6623.959","6072.161"
"1","5","12","0","75","-2","7.2","0.87","70.914","-1.16","5028.788","4533.513"
"1","5","13","0","91","-2","7.1","0.87","87.123","-0.957","6225.478","5687.8"
"1","5","14","0","83","-2","7.1","0.87","79.745","-1.045","5700.823","5181.735"
"1","5","15","0","57","-3","7.2","0.87","54.404","-2.355","3846.984","3393.585"
"1","5","16","0","19","-3","7","0.87","17.915","-2.788","1131.321","774.149"
"1","5","17","0","0","-3","6.8","0.87","0","-3","0","0"
"1","5","18","0","0","-3","6.7","0.87","0","-3","0","0"
"1","5","19","0","0","-4","6.5","0.87","0","-4","0","0"
"1","5","20","0","0","-4","6.5","0.87","0","-4","0","0"
"1","5","21","0","0","-4","6.7","0.87","0","-4","0","0"
"1","5","22","0","0","-3","6.8","0.87","0","-3","0","0"
"1","5","23","0","0","-3","6.9","0.87","0","-3","0","0"
"1","6","0","0","0","-3","7","0.87","0","-3","0","0"
"1","6","1","0","0","-3","7.1","0.87","0","-3","0","0"
"1","6","2","0","0","-3","6.9","0.87","0","-3","0","0"
"1","6","3","0","0","-3","7","0.87","0","-3","0","0"
"1","6","4","0","0","-3","6.8","0.87","0","-3","0","0"
"1","6","5","0","0","-3","6.4","0.87","0","-3","0","0"
"1","6","6","0","0","-3","5.9","0.87","0","-3","0","0"
"1","6","7","0","0","-2","4.7","0.87","0","-2","0","0"
"1","6","8","49","27","-2","2.6","0.87","40.768","-1.246","1815.626","1434.206"
"1","6","9","168","79","-1","1.2","0.87","170.725","3.954","12240.517","11489.702"
"1","6","10","110","134","-1","2","0.87","216.438","4.283","15819.035","14941.419"
"1","6","11","0","113","0","3.9","0.87","110.371","1.939","7869.157","7273.236"
"1","6","12","3","146","0","5.4","0.87","147.426","2.124","10588.099","9895.835"
"1","6","13","0","103","0","6.3","0.87","99.538","1.294","7083.617","6515.531"
"1","6","14","0","82","-1","6.6","0.87","78.657","-0.008","5597.554","5082.126"
"1","6","15","0","54","-1","6.3","0.87","51.199","-0.334","3584.337","3140.245"
"1","6","16","135","52","-2","5.8","0.87","110.272","-0.523","7227.407","6654.226"
"1","6","17","0","0","-3","5.1","0.87","0","-3","0","0"
"1","6","18","0","0","-4","4.4","0.87","0","-4","0","0"
"1","6","19","0","0","-5","4.1","0.87","0","-5","0","0"
"1","6","20","0","0","-5","3.9","0.87","0","-5","0","0"
"1","6","21","0","0","-6","3.8","0.87","0","-6","0","0"
"1","6","22","0","0","-7","3.5","0.87","0","-7","0","0"
"1","6","23","0","0","-7","3.1","0.87","0","-7","0","0"
"1","7","0","0","0","-7","2.7","0.87","0","-7","0","0"
"1","7","1","0","0","-7","2.5","0.87","0","-7","0","0"
"1","7","2","0","0","-7","2.4","0.87","0","-7","0","0"
"1","7","3","0","0","-7","2.2","0.87","0","-7","0","0"
"1","7","4","0","0","-6","2.2","0.87","0","-6","0","0"
"1","7","5","0","0","-6","2.2","0.87","0","-6","0","0"
"1","7","6","0","0","-6","2.3","0.87","0","-6","0","0"
"1","7","7","0","0","-6","2.3","0.87","0","-6","0","0"
"1","7","8","194","29","-5","2.4","0.87","74.518","-3.594","3312.519","2878.058"
"1","7","9","21","77","-3","3.3","0.87","91.619","-1.237","6550.237","6001.051"
"1","7","10","146","133","-2","4.5","0.87","236.134","1.83","17484.952","16548.306"
"1","7","11","111","171","-2","4.8","0.87","268.922","2.186","19834.452","18814.554"
"1","7","12","148","188","-2","4.4","0.87","319","3.235","23516.296","22365.936"
"1","7","13","123","179","-2","3.8","0.87","288.261","3.152","21213.282","20144.526"
"1","7","14","15","130","-2","3.3","0.87","140.063","0.701","10156.333","9479.369"
"1","7","15","0","68","-2","2.8","0.87","66.08","-0.616","4676.847","4194.043"
"1","7","16","0","29","-3","2.5","0.87","27.736","-2.397","1799.642","1418.789"
"1","7","17","0","0","-4","2.5","0.87","0","-4","0","0"
"1","7","18","0","0","-4","2.3","0.87","0","-4","0","0"
"1","7","19","0","0","-3","1.8","0.87","0","-3","0","0"
"1","7","20","0","0","-3","1.4","0.87","0","-3","0","0"
"1","7","21","0","0","-3","1.1","0.87","0","-3","0","0"
"1","7","22","0","0","-2","0.7","0.87","0","-2","0","0"
"1","7","23","0","0","-2","0.8","0.87","0","-2","0","0"
"1","8","0","0","0","-3","1.3","0.87","0","-3","0","0"
"1","8","1","0","0","-4","1.9","0.87","0","-4","0","0"
"1","8","2","0","0","-4","2.5","0.87","0","-4","0","0"
"1","8","3","0","0","-3","3.1","0.87","0","-3","0","0"
"1","8","4","0","0","-3","3.6","0.87","0","-3","0","0"
"1","8","5","0","0","-3","3.6","0.87","0","-3","0","0"
"1","8","6","0","0","-3","3.4","0.87","0","-3","0","0"
"1","8","7","0","0","-3","3.2","0.87","0","-3","0","0"
"1","8","8","151","29","-3","3.3","0.87","67.521","-1.905","2996.301","2573.045"
"1","8","9","43","79","-2","3.7","0.87","103.722","-0.124","7420.588","6840.562"
"1","8","10","636","103","-1","3.7","0.87","505.695","8.217","37521.723","35875.095"
"1","8","11","3","140","0","3.2","0.87","141.679","2.773","10155.48","9478.546"
"1","8","12","799","105","0","2.8","0.87","714.52","15.05","51603.292","49457.697"
"1","8","13","35","165","0","2.6","0.87","200.427","4.351","14471.271","13641.411"
"1","8","14","0","122","0","2.3","0.87","121.663","2.792","8694.868","8069.69"
"1","8","15","0","68","0","1.8","0.87","65.986","1.673","4629.511","4148.384"
"1","8","16","0","7","-1","1.3","0.87","6.587","-0.816","401.658","70.341"
"1","8","17","0","0","-2","1","0.87","0","-2","0","0"
"1","8","18","0","0","-2","0.7","0.87","0","-2","0","0"
"1","8","19","0","0","-2","0.3","0.87","0","-2","0","0"
"1","8","20","0","0","-2","0.3","0.87","0","-2","0","0"
"1","8","21","0","0","-3","0.7","0.87","0","-3","0","0"
"1","8","22","0","0","-3","1.1","0.87","0","-3","0","0"
"1","8","23","0","0","-3","1.4","0.87","0","-3","0","0"
"1","9","0","0","0","-4","1.6","0.87","0","-4","0","0"
"1","9","1","0","0","-4","1.7","0.87","0","-4","0","0"
"1","9","2","0","0","-4","1.9","0.87","0","-4","0","0"
"1","9","3","0","0","-4","2","0.87","0","-4","0","0"
"1","9","4","0","0","-4","2","0.87","0","-4","0","0"
"1","9","5","0","0","-4","2","0.87","0","-4","0","0"
"1","9","6","0","0","-5","2","0.87","0","-5","0","0"
"1","9","7","0","0","-4","2.2","0.87","0","-4","0","0"
"1","9","8","0","6","-3","2.5","0.87","5.646","-2.892","239.535","0"
"1","9","9","0","35","-1","3.2","0.87","33.026","-0.354","2263.834","1866.532"
"1","9","10","0","76","0","4","0.87","72.729","1.26","5138.864","4639.688"
"1","9","11","0","82","0","4.4","0.87","77.971","1.276","5504.15","4992.031"
"1","9","12","0","118","0","4.4","0.87","114.856","1.879","8182.672","7575.643"
"1","9","13","13","156","0","4.3","0.87","165.828","2.753","11947.875","11207.429"
"1","9","14","0","61","0","4","0.87","57.637","0.999","4038.258","3578.081"
"1","9","15","0","14","0","3.5","0.87","13.188","0.246","873.004","524.985"
"1","9","16","0","17","0","3.1","0.87","16.022","0.314","1013.971","660.957"
"1","9","17","0","0","0","3.5","0.87","0","0","0","0"
"1","9","18","0","0","0","4","0.87","0","0","0","0"
"1","9","19","0","0","0","3.9","0.87","0","0","0","0"
"1","9","20","0","0","0","3.4","0.87","0","0","0","0"
"1","9","21","0","0","0","3.2","0.87","0","0","0","0"
"1","9","22","0","0","0","3.5","0.87","0","0","0","0"
"1","9","23","0","0","0","4.1","0.87","0","0","0","0"
"1","10","0","0","0","0","4.4","0.87","0","0","0","0"
"1","10","1","0","0","0","4.7","0.87","0","0","0","0"
"1","10","2","0","0","0","4.9","0.87","0","0","0","0"
"1","10","3","0","0","0","5.2","0.87","0","0","0","0"
"1","10","4","0","0","0","5.3","0.87","0","0","0","0"
"1","10","5","0","0","0","4.7","0.87","0","0","0","0"
"1","10","6","0","0","-1","3.8","0.87","0","-1","0","0"
"1","10","7","0","0","-2","3.1","0.87","0","-2","0","0"
"1","10","8","241","28","-2","3.1","0.87","81.345","-0.652","3543.733","3101.08"
"1","10","9","600","65","0","3.6","0.87","352.307","6.478","25551.24","24328.773"
"1","10","10","762","82","0","4.1","0.87","558.087","9.598","41310.448","39529.569"
"1","10","11","827","91","0","4.2","0.87","687.837","11.655","50400.625","48297.646"
"1","10","12","847","95","1","4.1","0.87","736.03","13.642","53439.603","51228.941"
"1","10","13","831","94","1","3.9","0.87","710.359","13.561","51643.139","49496.132"
"1","10","14","135","151","1","3.3","0.87","255.055","5.929","18605.26","17628.916"
"1","10","15","483","71","0","2.2","0.87","334.474","7.861","24545.671","23358.835"
"1","10","16","197","44","0","1.4","0.87","124.116","3.359","8143.756","7538.105"
"1","10","17","0","0","-1","1.2","0.87","0","-1","0","0"
"1","10","18","0","0","-1","1","0.87","0","-1","0","0"
"1","10","19","0","0","-1","0.8","0.87","0","-1","0","0"
"1","10","20","0","0","-1","0.5","0.87","0","-1","0","0"
"1","10","21","0","0","-1","0.4","0.87","0","-1","0","0"
"1","10","22","0","0","-1","0.6","0.87","0","-1","0","0"
"1","10","23","0","0","-1","0.9","0.87","0","-1","0","0"
"1","11","0","0","0","-1","1.5","0.87","0","-1","0","0"
"1","11","1","0","0","-1","2.4","0.87","0","-1","0","0"
"1","11","2","0","0","-1","2.5","0.87","0","-1","0","0"
"1","11","3","0","0","-1","2.6","0.87","0","-1","0","0"
"1","11","4","0","0","0","3.5","0.87","0","0","0","0"
"1","11","5","0","0","0","3.9","0.87","0","0","0","0"
"1","11","6","0","0","0","4","0.87","0","0","0","0"
"1","11","7","0","0","0","4","0.87","0","0","0","0"
"1","11","8","0","4","0","4.2","0.87","3.762","0.055","155.763","0"
"1","11","9","0","14","0","4.3","0.87","13.187","0.219","868.912","521.038"
"1","11","10","0","47","0","4.1","0.87","44.375","0.758","3083.902","2657.542"
"1","11","11","0","138","0","4","0.87","137.133","2.374","9826.116","9160.852"
"1","11","12","0","124","0","3.9","0.87","121.09","2.126","8631.186","8008.264"
"1","11","13","0","109","0","4","0.87","105.57","1.827","7506.759","6923.679"
"1","11","14","0","106","0","4.1","0.87","103.76","1.772","7401.4","6822.054"
"1","11","15","0","47","0","4.1","0.87","44.381","0.758","3080.437","2654.2"
"1","11","16","0","33","0","3.8","0.87","31.807","0.56","2083.654","1692.737"
"1","11","17","0","0","0","3.8","0.87","0","0","0","0"
"1","11","18","0","0","0","4.2","0.87","0","0","0","0"
"1","11","19","0","0","0","4.4","0.87","0","0","0","0"
"1","11","20","0","0","0","4.2","0.87","0","0","0","0"
"1","11","21","0","0","0","3.9","0.87","0","0","0","0"
"1","11","22","0","0","0","3.8","0.87","0","0","0","0"
"1","11","23","0","0","0","3.7","0.87","0","0","0","0"
"1","12","0","0","0","0","3.4","0.87","0","0","0","0"
"1","12","1","0","0","0","3.2","0.87","0","0","0","0"
"1","12","2","0","0","0","3","0.87","0","0","0","0"
"1","12","3","0","0","0","3","0.87","0","0","0","0"
"1","12","4","0","0","0","3.2","0.87","0","0","0","0"
"1","12","5","0","0","0","3.8","0.87","0","0","0","0"
"1","12","6","0","0","0","4.2","0.87","0","0","0","0"
"1","12","7","0","0","1","4.1","0.87","0","1","0","0"
"1","12","8","0","9","1","3.5","0.87","8.475","1.139","372.743","42.45"
"1","12","9","0","41","1","2.7","0.87","38.707","1.824","2647.821","2236.913"
"1","12","10","34","134","2","2.4","0.87","163.53","5.687","11726.803","10994.191"
"1","12","11","28","159","2","3.2","0.87","188.078","5.684","13485.55","12690.618"
"1","12","12","35","176","3","4.1","0.87","212.886","6.635","15239.884","14382.789"
"1","12","13","0","77","4","4.7","0.87","72.811","5.145","5042.524","4546.763"
"1","12","14","0","27","5","5.1","0.87","25.467","5.381","1695.719","1318.548"
"1","12","15","84","104","6","5.3","0.87","160.137","8.342","11389.051","10668.407"
"1","12","16","0","41","7","5.5","0.87","41.113","7.579","2651.739","2240.692"
"1","12","17","0","0","7","5.5","0.87","0","7","0","0"
"1","12","18","0","0","7","5.6","0.87","0","7","0","0"
"1","12","19","0","0","7","6.1","0.87","0","7","0","0"
"1","12","20","0","0","7","6.7","0.87","0","7","0","0"
"1","12","21","0","0","7","7.2","0.87","0","7","0","0"
"1","12","22","0","0","8","7.4","0.87","0","8","0","0"
"1","12","23","0","0","8","7.4","0.87","0","8","0","0"
"1","13","0","0","0","8","7.4","0.87","0","8","0","0"
"1","13","1","0","0","8","7.4","0.87","0","8","0","0"
"1","13","2","0","0","8","7.4","0.87","0","8","0","0"
"1","13","3","0","0","8","7.6","0.87","0","8","0","0"
"1","13","4","0","0","8","7.9","0.87","0","8","0","0"
"1","13","5","0","0","9","7.8","0.87","0","9","0","0"
"1","13","6","0","0","9","7.4","0.87","0","9","0","0"
"1","13","7","0","0","9","7.4","0.87","0","9","0","0"
"1","13","8","0","3","9","7.7","0.87","2.821","9.028","116.242","0"
"1","13","9","141","84","10","9","0.87","158.358","11.594","11019.745","10312.187"
"1","13","10","7","120","11","10.2","0.87","124.29","12.138","8589.036","7967.607"
"1","13","11","39","165","11","9.6","0.87","202.7","12.945","14185.122","13365.402"
"1","13","12","0","125","10","7.3","0.87","122.012","11.431","8390.394","7776.004"
"1","13","13","7","152","7","6.2","0.87","156.645","9.059","10986.746","10280.357"
"1","13","14","0","45","3","7.2","0.87","42.484","3.504","2910.961","2490.729"
"1","13","15","0","39","1","7.1","0.87","36.805","1.441","2530.072","2123.336"
"1","13","16","0","28","1","6.2","0.87","26.426","1.344","1722.974","1344.837"
"1","13","17","0","0","0","5.8","0.87","0","0","0","0"
"1","13","18","0","0","0","5.4","0.87","0","0","0","0"
"1","13","19","0","0","0","4.9","0.87","0","0","0","0"
"1","13","20","0","0","0","4.2","0.87","0","0","0","0"
"1","13","21","0","0","0","3.6","0.87","0","0","0","0"
"1","13","22","0","0","0","3.7","0.87","0","0","0","0"
"1","13","23","0","0","0","4.3","0.87","0","0","0","0"
"1","14","0","0","0","0","5.1","0.87","0","0","0","0"
"1","14","1","0","0","-1","5.8","0.87","0","-1","0","0"
"1","14","2","0","0","-3","6.5","0.87","0","-3","0","0"
"1","14","3","0","0","-4","6.8","0.87","0","-4","0","0"
"1","14","4","0","0","-5","6.5","0.87","0","-5","0","0"
"1","14","5","0","0","-6","6.4","0.87","0","-6","0","0"
"1","14","6","0","0","-7","6.4","0.87","0","-7","0","0"
"1","14","7","0","0","-8","6.3","0.87","0","-8","0","0"
"1","14","8","413","25","-7","6.5","0.87","110.621","-5.786","5333.992","4827.903"
"1","14","9","735","53","-6","6.8","0.87","397.346","-1.092","29708.791","28339.005"
"1","14","10","573","86","-6","6.7","0.87","453.965","-0.301","34660.259","33115.023"
"1","14","11","689","87","-5","6.6","0.87","592.904","2.517","44797.562","42893.121"
"1","14","12","928","85","-5","6.5","0.87","790.452","5.126","59086.893","56676.124"
"1","14","13","906","87","-5","6.5","0.87","759.443","4.73","56911.922","54578.221"
"1","14","14","860","80","-5","6.2","0.87","651.144","3.625","49187.747","47127.744"
"1","14","15","765","66","-6","5.8","0.87","472.787","0.545","35977.631","34385.716"
"1","14","16","548","40","-7","5.2","0.87","239.3","-3.546","16416.299","15517.519"
"1","14","17","0","0","-8","4.8","0.87","0","-8","0","0"
"1","14","18","0","0","-8","4.6","0.87","0","-8","0","0"
"1","14","19","0","0","-9","4.5","0.12","0","-9","0","0"
"1","14","20","0","0","-9","4.4","0.12","0","-9","0","0"
"1","14","21","0","0","-9","4.4","0.12","0","-9","0","0"
"1","14","22","0","0","-9","4.3","0.12","0","-9","0","0"
"1","14","23","0","0","-9","4.2","0.12","0","-9","0","0"
"1","15","0","0","0","-9","4.1","0.12","0","-9","0","0"
"1","15","1","0","0","-10","3.9","0.12","0","-10","0","0"
"1","15","2","0","0","-10","3.5","0.12","0","-10","0","0"
"1","15","3","0","0","-10","3.1","0.12","0","-10","0","0"
"1","15","4","0","0","-10","2.9","0.12","0","-10","0","0"
"1","15","5","0","0","-10","2.8","0.12","0","-10","0","0"
"1","15","6","0","0","-10","2.6","0.12","0","-10","0","0"
"1","15","7","0","0","-10","2.6","0.12","0","-10","0","0"
"1","15","8","0","24","-9","3.1","0.12","23.188","-8.579","1219.993","859.679"
"1","15","9","56","85","-7","4","0.12","114.621","-5.013","8430.319","7814.514"
"1","15","10","803","68","-6","4.6","0.12","563.488","3.056","42800.267","40966.598"
"1","15","11","868","74","-5","4.9","0.12","694.04","5.718","52061.731","49899.892"
"1","15","12","895","75","-4","5","0.12","750.691","7.441","55843.266","53547.432"
"1","15","13","897","72","-4","5","0.12","732.24","7.163","54588.329","52336.962"
"1","15","14","855","67","-4","4.8","0.12","631.169","5.879","47442.3","45444.146"
"1","15","15","759","57","-4","4.3","0.12","460.091","3.695","34728.695","33181.034"
"1","15","16","537","38","-6","3.2","0.12","235.092","-1.496","16083.628","15196.636"
"1","15","17","0","0","-7","2.6","0.12","0","-7","0","0"
"1","15","18","0","0","-7","2.8","0.12","0","-7","0","0"
"1","15","19","0","0","-7","3.2","0.87","0","-7","0","0"
"1","15","20","0","0","-8","3.5","0.87","0","-8","0","0"
"1","15","21","0","0","-8","3.5","0.87","0","-8","0","0"
"1","15","22","0","0","-9","3.3","0.87","0","-9","0","0"
"1","15","23","0","0","-9","3.3","0.87","0","-9","0","0"
"1","16","0","0","0","-10","3.3","0.87","0","-10","0","0"
"1","16","1","0","0","-10","3.4","0.87","0","-10","0","0"
"1","16","2","0","0","-10","3.4","0.87","0","-10","0","0"
"1","16","3","0","0","-10","3.4","0.87","0","-10","0","0"
"1","16","4","0","0","-10","3.4","0.87","0","-10","0","0"
"1","16","5","0","0","-10","3.3","0.87","0","-10","0","0"
"1","16","6","0","0","-10","3.2","0.87","0","-10","0","0"
"1","16","7","0","0","-10","3.1","0.87","0","-10","0","0"
"1","16","8","0","23","-10","3.1","0.87","22.3","-9.592","1200.954","841.315"
"1","16","9","0","35","-10","3.3","0.87","33.025","-9.364","2351.233","1950.835"
"1","16","10","304","128","-9","3.5","0.87","331.695","-2.777","25270.709","24058.182"
"1","16","11","53","172","-9","3.8","0.87","220.34","-5.067","16513.429","15611.207"
"1","16","12","167","199","-9","4.3","0.87","346.775","-3.232","26160.052","24916.013"
"1","16","13","469","147","-8","4.8","0.87","519.277","0.101","39297.601","37588.045"
"1","16","14","463","122","-8","5.1","0.87","449.561","-1.241","34279.36","32747.621"
"1","16","15","716","77","-8","5.2","0.87","467.882","-1.044","35815.081","34228.925"
